bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters  [CONTEXT]  throws  EstimationException  {  updateJacobian();    [BUGGY]  final  int  rows  =  problem.getAllParameters().length;  [BUGGY]  final  int  cols  =  problem.getAllParameters().length;  final  int  max=  cols  *  rows;  double[][]  jTj  =  new  double[cols][cols];  for  (int  i  =  0;  i  <  cols;  ++i)  {  for  (int  j  =  i;  j  <  cols;  ++j)  {  double  sum  =  0;  for  (int  k  =  0;  k  <  max;  k  +=  cols)  {  sum  +=  jacobian[k  +  i]  *  jacobian[k  +  j];  }  jTj[i][j]  =  sum;  [CLASS]  AbstractEstimator  [METHOD]  getCovariances  [RETURN_TYPE]  double[][]  EstimationProblem  problem  [VARIABLES]  EstimatedParameter[]  parameters  InvalidMatrixException  ime  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  wm  double  chiSquare  cost  criterion  factor  residual  sum  double[][]  jTj  EstimationProblem  problem  int  cols  costEvaluations  i  index  j  jacobianEvaluations  k  max  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	165	165	1	add	final  int  rows  =  problem.getAllParameters().length;	final  int  rows  =  problem.getMeasurements().length;  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testBoundParameters	18	1
163	[BUG]  [BUGGY]  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j],  coefficient);  [CE]  cannot  find  symbol  coefficient  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  [BUGGY]  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j],  coefficient);  [BUGGY]  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	79	79	1	replace	jacobian[index++]  =  factor  *  wm.getPartial(parameters[j],  coefficient);	jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  	non-compiled	[CE]  cannot  find  symbol  coefficient	13	None	replace
164	[BUG]  [BUGGY]  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j],  index);  [CE]  method  getPartial  in  class  WeightedMeasurement  cannot  be  applied  to  given  types;  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  [BUGGY]  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j],  index);  [BUGGY]  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	79	79	1	replace	jacobian[index++]  =  factor  *  wm.getPartial(parameters[j],  index);	jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  	non-compiled	[CE]  method  getPartial  in  class  WeightedMeasurement  cannot  be  applied  to  given  types;	13	None	replace
171	[BUG]  [BUGGY]  final  int  cols  =  problem.getColumns().length;  [CE]  cannot  find  symbol  [CONTEXT]  throws  EstimationException  {  updateJacobian();  final  int  rows  =  problem.getMeasurements().length;  [BUGGY]  final  int  cols  =  problem.getColumns().length;  [BUGGY]  final  int  max=  cols  *  rows;  double[][]  jTj  =  new  double[cols][cols];  for  (int  i  =  0;  i  <  cols;  ++i)  {  for  (int  j  =  i;  j  <  cols;  ++j)  {  double  sum  =  0;  for  (int  k  =  0;  k  <  max;  k  +=  cols)  {  sum  +=  jacobian[k  +  i]  *  jacobian[k  +  j];  }  jTj[i][j]  =  sum;  jTj[j][i]  =  sum;  [CLASS]  AbstractEstimator  [METHOD]  getCovariances  [RETURN_TYPE]  double[][]  EstimationProblem  problem  [VARIABLES]  EstimatedParameter[]  parameters  InvalidMatrixException  ime  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  wm  double  chiSquare  cost  criterion  factor  residual  sum  double[][]  jTj  EstimationProblem  problem  int  cols  costEvaluations  i  index  j  jacobianEvaluations  k  max  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	166	166	1	replace	final  int  cols  =  problem.getColumns().length;	final  int  cols  =  problem.getAllParameters().length;  	non-compiled	[CE]  cannot  find  symbol	20	None	replace
172	[BUG]  [BUGGY]  final  int  cols  =  problem.getAllCols().length;  [CE]  cannot  find  symbol  [CONTEXT]  throws  EstimationException  {  updateJacobian();  final  int  rows  =  problem.getMeasurements().length;  [BUGGY]  final  int  cols  =  problem.getAllCols().length;  [BUGGY]  final  int  max=  cols  *  rows;  double[][]  jTj  =  new  double[cols][cols];  for  (int  i  =  0;  i  <  cols;  ++i)  {  for  (int  j  =  i;  j  <  cols;  ++j)  {  double  sum  =  0;  for  (int  k  =  0;  k  <  max;  k  +=  cols)  {  sum  +=  jacobian[k  +  i]  *  jacobian[k  +  j];  }  jTj[i][j]  =  sum;  jTj[j][i]  =  sum;  [CLASS]  AbstractEstimator  [METHOD]  getCovariances  [RETURN_TYPE]  double[][]  EstimationProblem  problem  [VARIABLES]  EstimatedParameter[]  parameters  InvalidMatrixException  ime  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  wm  double  chiSquare  cost  criterion  factor  residual  sum  double[][]  jTj  EstimationProblem  problem  int  cols  costEvaluations  i  index  j  jacobianEvaluations  k  max  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	166	166	1	replace	final  int  cols  =  problem.getAllCols().length;	final  int  cols  =  problem.getAllParameters().length;  	non-compiled	[CE]  cannot  find  symbol	20	None	replace
174	[BUG]  [BUGGY]  final  int  cols  =  problem.getColumnCount().length;  [CE]  cannot  find  symbol  [CONTEXT]  throws  EstimationException  {  updateJacobian();  final  int  rows  =  problem.getMeasurements().length;  [BUGGY]  final  int  cols  =  problem.getColumnCount().length;  [BUGGY]  final  int  max=  cols  *  rows;  double[][]  jTj  =  new  double[cols][cols];  for  (int  i  =  0;  i  <  cols;  ++i)  {  for  (int  j  =  i;  j  <  cols;  ++j)  {  double  sum  =  0;  for  (int  k  =  0;  k  <  max;  k  +=  cols)  {  sum  +=  jacobian[k  +  i]  *  jacobian[k  +  j];  }  jTj[i][j]  =  sum;  jTj[j][i]  =  sum;  [CLASS]  AbstractEstimator  [METHOD]  getCovariances  [RETURN_TYPE]  double[][]  EstimationProblem  problem  [VARIABLES]  EstimatedParameter[]  parameters  InvalidMatrixException  ime  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  wm  double  chiSquare  cost  criterion  factor  residual  sum  double[][]  jTj  EstimationProblem  problem  int  cols  costEvaluations  i  index  j  jacobianEvaluations  k  max  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	166	166	1	replace	final  int  cols  =  problem.getColumnCount().length;	final  int  cols  =  problem.getAllParameters().length;  	non-compiled	[CE]  cannot  find  symbol	20	None	replace
181	[BUG]  [BUGGY]    Arrays.fill(parameters[i],  index);  [CE]  no  suitable  method  found  for  fill(EstimatedParameter,int)  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  [BUGGY]    Arrays.fill(parameters[i],  index);  [BUGGY]  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	76	76	1	replace	    Arrays.fill(parameters[i],  index);		non-compiled	[CE]  no  suitable  method  found  for  fill(EstimatedParameter,int)	8	None	add
182	[BUG]  [BUGGY]    Arrays.fill(parameters[i]);  [CE]  no  suitable  method  found  for  fill(EstimatedParameter)  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  [BUGGY]    Arrays.fill(parameters[i]);  [BUGGY]  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	76	76	1	replace	    Arrays.fill(parameters[i]);		non-compiled	[CE]  no  suitable  method  found  for  fill(EstimatedParameter)	8	None	add
183	[BUG]  [BUGGY]    Arrays.fill(parameters[i],  null);  [CE]  no  suitable  method  found  for  fill(EstimatedParameter,<null>)  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  [BUGGY]    Arrays.fill(parameters[i],  null);  [BUGGY]  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	76	76	1	replace	    Arrays.fill(parameters[i],  null);		non-compiled	[CE]  no  suitable  method  found  for  fill(EstimatedParameter,<null>)	8	None	add
184	[BUG]  [BUGGY]    Arrays.fill(parameters[i],  0,  index);  [CE]  no  suitable  method  found  for  fill(EstimatedParameter,int,int)  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  [BUGGY]    Arrays.fill(parameters[i],  0,  index);  [BUGGY]  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	76	76	1	replace	    Arrays.fill(parameters[i],  0,  index);		non-compiled	[CE]  no  suitable  method  found  for  fill(EstimatedParameter,int,int)	8	None	add
185	[BUG]  [BUGGY]    Arrays.fill(parameters[i],  index  +  1);  [CE]  no  suitable  method  found  for  fill(EstimatedParameter,int)  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  [BUGGY]    Arrays.fill(parameters[i],  index  +  1);  [BUGGY]  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	76	76	1	replace	    Arrays.fill(parameters[i],  index  +  1);		non-compiled	[CE]  no  suitable  method  found  for  fill(EstimatedParameter,int)	8	None	add
191	[BUG]  [BUGGY]    NumberedMeasurement[]  rows  =  getRows();  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    NumberedMeasurement[]  rows  =  getRows();  [BUGGY]  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	    NumberedMeasurement[]  rows  =  getRows();		non-compiled	[CE]  cannot  find  symbol	4	None	add
192	[BUG]  [BUGGY]    NumberedMeasurement[]  rows  =  calculateRowCount();  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    NumberedMeasurement[]  rows  =  calculateRowCount();  [BUGGY]  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	    NumberedMeasurement[]  rows  =  calculateRowCount();		non-compiled	[CE]  cannot  find  symbol	4	None	add
193	[BUG]  [BUGGY]    NumberedMeasurement[]  rows  =  Arrays.get(parameters);  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    NumberedMeasurement[]  rows  =  Arrays.get(parameters);  [BUGGY]  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	    NumberedMeasurement[]  rows  =  Arrays.get(parameters);		non-compiled	[CE]  cannot  find  symbol	4	None	add
194	[BUG]  [BUGGY]    NumberedMeasurement[]  rows  =  calculateRows();  [CE]  cannot  find  symbol  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    NumberedMeasurement[]  rows  =  calculateRows();  [BUGGY]  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	    NumberedMeasurement[]  rows  =  calculateRows();		non-compiled	[CE]  cannot  find  symbol	4	None	add
195	[BUG]  [BUGGY]  [FE]  ClassCastException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    Arrays.sort(parameters);  [BUGGY]  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	add	    Arrays.sort(parameters);		compilable	  [FE]  ClassCastException  testBoundParameters	4	1
196	[BUG]  [BUGGY]    Arrays.sort(parameters);  [FE]  ClassCastException  testBoundParameters  [CONTEXT]  protected  void  updateJacobian()  {  incrementJacobianEvaluationsCounter();  [BUGGY]    Arrays.sort(parameters);  [BUGGY]  Arrays.fill(jacobian,  0);  for  (int  i  =  0,  index  =  0;  i  <  rows;  i++)  {  WeightedMeasurement  wm  =  measurements[i];  double  factor  =  -Math.sqrt(wm.getWeight());  for  (int  j  =  0;  j  <  cols;  ++j)  {  jacobian[index++]  =  factor  *  wm.getPartial(parameters[j]);  }  }  }  [CLASS]  AbstractEstimator  [METHOD]  updateJacobian  [RETURN_TYPE]  void  [VARIABLES]  EstimatedParameter[]  parameters  WeightedMeasurement  wm  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  double  cost  factor  int  cols  costEvaluations  i  index  j  jacobianEvaluations  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	74	74	1	replace	    Arrays.sort(parameters);		compilable	  [FE]  ClassCastException  testBoundParameters	4	1	add
2	[BUG]  [BUGGY]  final  int  cols  =  problem.getColumns().length  -  1;  [CE]  cannot  find  symbol  [CONTEXT]  throws  EstimationException  {  updateJacobian();  final  int  rows  =  problem.getMeasurements().length;  [BUGGY]  final  int  cols  =  problem.getColumns().length  -  1;  [BUGGY]  final  int  max=  cols  *  rows;  double[][]  jTj  =  new  double[cols][cols];  for  (int  i  =  0;  i  <  cols;  ++i)  {  for  (int  j  =  i;  j  <  cols;  ++j)  {  double  sum  =  0;  for  (int  k  =  0;  k  <  max;  k  +=  cols)  {  sum  +=  jacobian[k  +  i]  *  jacobian[k  +  j];  }  jTj[i][j]  =  sum;  jTj[j][i]  =  sum;  [CLASS]  AbstractEstimator  [METHOD]  getCovariances  [RETURN_TYPE]  double[][]  EstimationProblem  problem  [VARIABLES]  EstimatedParameter[]  parameters  InvalidMatrixException  ime  boolean  double[]  jacobian  residuals  WeightedMeasurement[]  measurements  wm  double  chiSquare  cost  criterion  factor  residual  sum  double[][]  jTj  EstimationProblem  problem  int  cols  costEvaluations  i  index  j  jacobianEvaluations  k  max  maxCostEval  rows  	projects/Math100/src/java/org/apache/commons/math/estimation/AbstractEstimator.java	1.0	166	166	1	replace	final  int  cols  =  problem.getColumns().length  -  1;	final  int  cols  =  problem.getAllParameters().length;  	non-compiled	[CE]  cannot  find  symbol	20	None	replace
