bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
393	[BUG]  [BUGGY]  for(Option  option  :  selector.getOptions())  {  [CE]  cannot  find  symbol  selector  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for(Option  option  :  selector.getOptions())  {  [BUGGY]  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	for(Option  option  :  selector.getOptions())  {	for  (Option  option  :  group.getOptions())  {  	non-compiled	[CE]  cannot  find  symbol  selector	14	None	replace
394	[BUG]  [BUGGY]  for(Option  option  :  candidate.getOptions())  {  [CE]  cannot  find  symbol  candidate  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]  for(Option  option  :  candidate.getOptions())  {  [BUGGY]  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	for(Option  option  :  candidate.getOptions())  {	for  (Option  option  :  group.getOptions())  {  	non-compiled	[CE]  cannot  find  symbol  candidate	14	None	replace
422	[BUG]  [BUGGY]    private  final  ObjectList  <  Object>  requiredOpts  =  Lists.newArrayList();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]    private  final  ObjectList  <  Object>  requiredOpts  =  Lists.newArrayList();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    private  final  ObjectList  <  Object>  requiredOpts  =  Lists.newArrayList();		non-compiled	[CE]  cannot  find  symbol	7	None	add
423	[BUG]  [BUGGY]    private  final  ObjectList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]    private  final  ObjectList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    private  final  ObjectList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>();		non-compiled	[CE]  cannot  find  symbol	7	None	add
425	[BUG]  [BUGGY]    private  final  ObjectList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>(Arrays.asList(options));  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]    private  final  ObjectList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>(Arrays.asList(options));  [BUGGY]  private  final  List<Object>  requiredOpts  =  new  ArrayList<Object>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	58	58	1	replace	    private  final  ObjectList  <  Object>  requiredOpts  =  new  ArrayList  <  Object>(Arrays.asList(options));		non-compiled	[CE]  cannot  find  symbol	7	None	add
453	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  Long.valueOf(longOpts.size());  [CE]  variable  longOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  Long.valueOf(longOpts.size());  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    private  final  Map  <  String,  Option>  longOpts  =  Long.valueOf(longOpts.size());		non-compiled	[CE]  variable  longOpts  is  already  defined  in  class  Options	5	None	add
454	[BUG]  [BUGGY]    return  LongOpts.valueOf(longOpts.length());  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  LongOpts.valueOf(longOpts.length());  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    return  LongOpts.valueOf(longOpts.length());		non-compiled	[CE]  illegal  start  of  type	5	None	add
455	[BUG]  [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  Long.valueOf(longOpts.keySet());  [CE]  variable  longOpts  is  already  defined  in  class  Options  [CONTEXT]    [BUGGY]    private  final  Map  <  String,  Option>  longOpts  =  Long.valueOf(longOpts.keySet());  [BUGGY]  private  final  Map<String,  Option>  longOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	53	53	1	replace	    private  final  Map  <  String,  Option>  longOpts  =  Long.valueOf(longOpts.keySet());		non-compiled	[CE]  variable  longOpts  is  already  defined  in  class  Options	5	None	add
483	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    if(!requiredOpts.contains(option))  {  requiredOpts.add(option);  }  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	    if(!requiredOpts.contains(option))  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1
484	[BUG]  [BUGGY]    if(!requiredOpts.contains(option))  {  requiredOpts.add(option);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    if(!requiredOpts.contains(option))  {  requiredOpts.add(option);  }  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    if(!requiredOpts.contains(option))  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1	add
484	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    if(!option.hasArg())  {  requiredOpts.add(option);  }  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	add	    if(!option.hasArg())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1
485	[BUG]  [BUGGY]    if(!option.hasArg())  {  requiredOpts.add(option);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  if  (group.isRequired())  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {      [BUGGY]    if(!option.hasArg())  {  requiredOpts.add(option);  }  [BUGGY]  option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	81	81	1	replace	    if(!option.hasArg())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	17	1	add
512	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    option.setRequired(false);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    option.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
513	[BUG]  [BUGGY]    option.setRequired(false);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    option.setRequired(false);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    option.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
513	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    option.setRequired(true);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	add	    option.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1
514	[BUG]  [BUGGY]    option.setRequired(true);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [BUGGY]    option.setRequired(true);  [BUGGY]  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	84	84	1	replace	    option.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	21	1	add
543	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    if(!option.hasArg())  {  requiredOpts.add(option);  }  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    if(!option.hasArg())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
544	[BUG]  [BUGGY]    if(!option.hasArg())  {  requiredOpts.add(option);  }  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    if(!option.hasArg())  {  requiredOpts.add(option);  }  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    if(!option.hasArg())  {  requiredOpts.add(option);  }		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
545	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    group.setRequired(true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    group.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
546	[BUG]  [BUGGY]    group.setRequired(true);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    group.setRequired(true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    group.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
572	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    group.setRequired(false);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	add	    group.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1
573	[BUG]  [BUGGY]    group.setRequired(false);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    group.setRequired(false);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    group.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1	add
573	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    group.setRequired(true);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	add	    group.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1
574	[BUG]  [BUGGY]    group.setRequired(true);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    group.setRequired(true);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    group.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	15	1	add
575	[BUG]  [BUGGY]    group.setIsRequired(true);  [CE]  cannot  find  symbol  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  requiredOpts.add(group);  }  [BUGGY]    group.setIsRequired(true);  [BUGGY]  for  (Option  option  :  group.getOptions())  {  {    option.setRequired(false);  addOption(option);  optionGroups.put(option.getKey(),  group);  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	76	77	1	replace	    group.setIsRequired(true);		non-compiled	[CE]  cannot  find  symbol	15	None	add
