bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  [BUGGY]  if(index  >=  0)  {  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	334	334	4	add	if(index  >=  0)  {	if  (index  <  0)  {  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	11	4
223	[BUG]  [BUGGY]  [FE]  UnsupportedOperationException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  UnsupportedOperationException( " ");  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	add	throw  new  UnsupportedOperationException( " ");	return;  	compilable	  [FE]  UnsupportedOperationException  testRemoveColumnByKey	17	4
224	[BUG]  [BUGGY]  throw  new  UnsupportedOperationException( " ");  [FE]  UnsupportedOperationException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  UnsupportedOperationException( " ");  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	replace	throw  new  UnsupportedOperationException( " ");	return;  	compilable	  [FE]  UnsupportedOperationException  testRemoveColumnByKey	17	4	replace
224	[BUG]  [BUGGY]  throw  new  JXPathInvalidIndexOutOfBoundsException( " ");  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  if  (index  <  0)  {  [BUGGY]  throw  new  JXPathInvalidIndexOutOfBoundsException( " ");  [BUGGY]  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.8660254037844387	335	335	4	replace	throw  new  JXPathInvalidIndexOutOfBoundsException( " ");	return;  	non-compiled	[CE]  cannot  find  symbol	17	None	replace
233	[BUG]  [BUGGY]  DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.get();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]  DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.get();  [BUGGY]  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.get();	DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  	non-compiled	[CE]  cannot  find  symbol	23	None	replace
234	[BUG]  [BUGGY]  DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.current();  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]  DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.current();  [BUGGY]  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	DefaultKeyedValues  rowData  =(DefaultKeyedValues)iterator.current();	DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  	non-compiled	[CE]  cannot  find  symbol	23	None	replace
241	[BUG]  [BUGGY]    this.indexMap.remove(index);  [CE]  no  suitable  method  found  for  remove(int)  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  [BUGGY]    this.indexMap.remove(index);  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	317	317	4	replace	    this.indexMap.remove(index);		non-compiled	[CE]  no  suitable  method  found  for  remove(int)	4	None	add
242	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  [BUGGY]    this.values.remove(index);  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	317	317	4	add	    this.values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	4	4
243	[BUG]  [BUGGY]    this.values.remove(index);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  [BUGGY]    this.values.remove(index);  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	317	317	4	replace	    this.values.remove(index);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	4	4	add
243	[BUG]  [BUGGY]    if(this.values.size()  >  index)  {  if(!this.values.contains(index))  {  throw  new  IndexOutOfBoundsException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  [BUGGY]    if(this.values.size()  >  index)  {  if(!this.values.contains(index))  {  throw  new  IndexOutOfBoundsException( " ");  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	317	317	4	replace	    if(this.values.size()  >  index)  {  if(!this.values.contains(index))  {  throw  new  IndexOutOfBoundsException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
244	[BUG]  [BUGGY]    if(this.values.size()  >  index)  {  if(!this.values.contains(index))  {  this.values.remove(index);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  [BUGGY]    if(this.values.size()  >  index)  {  if(!this.values.contains(index))  {  this.values.remove(index);  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	317	317	4	replace	    if(this.values.size()  >  index)  {  if(!this.values.contains(index))  {  this.values.remove(index);  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
245	[BUG]  [BUGGY]    this.values.remove(index);  if(!this.values.contains(index))  {  throw  new  IndexOutOfBoundsException( " ");  }  [CE]  no  suitable  method  found  for  contains(int)  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  [BUGGY]    this.values.remove(index);  if(!this.values.contains(index))  {  throw  new  IndexOutOfBoundsException( " ");  }  [BUGGY]  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	317	317	4	replace	    this.values.remove(index);  if(!this.values.contains(index))  {  throw  new  IndexOutOfBoundsException( " ");  }		non-compiled	[CE]  no  suitable  method  found  for  contains(int)	4	None	add
252	[BUG]  [BUGGY]  int  index  =  getIndex(key.getKey());  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  getIndex(key.getKey());  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  getIndex(key.getKey());	int  index  =  getIndex(key);  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
253	[BUG]  [BUGGY]  int  index  =  findIndex(key);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  findIndex(key);  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  findIndex(key);	int  index  =  getIndex(key);  	non-compiled	[CE]  cannot  find  symbol	9	None	replace
254	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  getIndex(key)-  1;  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	add	int  index  =  getIndex(key)-  1;	int  index  =  getIndex(key);  	compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	9	3
255	[BUG]  [BUGGY]  int  index  =  getIndex(key)-  1;  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  [BUGGY]  int  index  =  getIndex(key)-  1;  [BUGGY]  if  (index  <  0)  {  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	333	333	4	replace	int  index  =  getIndex(key)-  1;	int  index  =  getIndex(key);  	compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	9	3	replace
261	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.rowKeys.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	add	    this.rowKeys.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	20	3
262	[BUG]  [BUGGY]    this.rowKeys.remove(columnKey);  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.rowKeys.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	replace	    this.rowKeys.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	20	3	add
262	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.rows.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	add	    this.rows.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	20	3
263	[BUG]  [BUGGY]    this.rows.remove(columnKey);  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.rows.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	replace	    this.rows.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	20	3	add
263	[BUG]  [BUGGY]    List  <  DefaultKeyedValues>  rows  =  new  ArrayList  <  Column>(this.rows.size());  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    List  <  DefaultKeyedValues>  rows  =  new  ArrayList  <  Column>(this.rows.size());  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	replace	    List  <  DefaultKeyedValues>  rows  =  new  ArrayList  <  Column>(this.rows.size());		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	20	None	add
264	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.columnKeys.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	add	    this.columnKeys.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	20	3
265	[BUG]  [BUGGY]    this.columnKeys.remove(columnKey);  [FE]  AssertionFailedError  testRemoveColumnByKey  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  [BUGGY]    this.columnKeys.remove(columnKey);  [BUGGY]  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	455	455	4	replace	    this.columnKeys.remove(columnKey);		compilable	  [FE]  AssertionFailedError  testRemoveColumnByKey	20	3	add
